Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
10-Jan-11,3,12,6,2,0,33,39,,20,8,2,3,4,0,0,19,27,17,0
10-Jan-11,4,9,6,3,6,27,32,,16,5,3,6,2,0,3,46,37,30,0
10-Jan-11,5,14,48,22,93,40,66,,14,22,21,29,4,1,15,64,101,49,15
10-Jan-11,6,66,190,148,459,112,123,,108,65,185,85,29,10,76,184,378,116,87
10-Jan-11,7,191,662,632,1649,199,335,,253,329,760,412,84,33,221,495,1181,305,203
10-Jan-11,8,553,1913,1748,4493,459,807,,750,750,1826,895,149,43,383,1186,3056,874,321
10-Jan-11,9,378,1185,1030,2094,596,980,,891,777,897,461,90,33,145,707,1411,354,95
10-Jan-11,10,460,725,511,742,733,1615,,1423,1065,301,218,39,48,87,677,815,261,44
10-Jan-11,11,592,540,387,598,1047,1963,,2007,1380,240,148,81,55,94,782,976,245,60
10-Jan-11,12,1193,1474,581,814,1784,3224,,3325,2379,787,439,323,185,310,1115,1816,462,186
10-Jan-11,13,1402,1628,722,910,2016,3805,,4275,2858,707,329,165,78,270,1243,2044,445,180
10-Jan-11,14,1311,822,426,643,1950,3288,,3085,1908,360,234,221,137,147,1187,1495,356,144
10-Jan-11,15,1390,739,508,744,1931,3214,,3099,1611,338,187,283,173,134,1053,1582,477,180
10-Jan-11,16,1387,812,932,1942,1776,3113,,2870,1439,831,442,103,26,187,1326,2055,518,213
10-Jan-11,17,1525,1701,2231,4792,1630,2884,,2452,1217,1603,903,88,24,470,3364,3483,1205,253
10-Jan-11,18,1076,803,839,1483,1615,1951,,1129,599,657,421,150,70,247,1072,1557,523,206
10-Jan-11,19,606,353,187,388,1267,1300,,482,273,197,160,94,35,114,558,860,314,74
10-Jan-11,20,604,264,120,165,1115,997,,397,241,89,111,129,40,52,522,617,225,40
10-Jan-11,21,338,173,105,86,812,699,,260,144,48,87,59,50,44,419,640,264,35
